item_id,image_name,image_path,humour,sarcasm,offensive,motivational,overall_sentiment,Social,Animation,Sports,Animal,Politics,Education,Fiction,Technology
1,image_6414,./image_data/image_6414.jpg,-0.33333333333333326,-0.33333333333333326,-0.33333333333333326,-1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0
2,image_5204,./image_data/image_5204.jpg,1.0,0.3333333333333335,-0.9999999999999999,1.0,0.5,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3,image_1290,./image_data/image_1290.jpg,0.3333333333333335,0.3333333333333335,0.3333333333333335,1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0
4,image_2770,./image_data/image_2770.png,0.3333333333333335,-0.33333333333333326,-0.33333333333333326,1.0,0.5,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0
5,image_2495,./image_data/image_2495.jpg,-0.33333333333333326,-0.33333333333333326,-0.9999999999999999,-1.0,0.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0
6,image_5314,./image_data/image_5314.jpg,0.3333333333333335,-0.33333333333333326,-0.9999999999999999,-1.0,0.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0
7,image_3133,./image_data/image_3133.jpg,1.0,0.3333333333333335,-0.33333333333333326,-1.0,0.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
8,image_3666,./image_data/image_3666.jpg,0.3333333333333335,0.3333333333333335,0.3333333333333335,1.0,0.5,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
9,image_5576,./image_data/image_5576.jpg,-0.33333333333333326,-0.33333333333333326,-0.9999999999999999,-1.0,0.5,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
10,image_4527,./image_data/image_4527.jpg,1.0,0.3333333333333335,1.0,1.0,0.5,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
11,image_3492,./image_data/image_3492.png,0.3333333333333335,1.0,-0.33333333333333326,1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0
12,image_3969,./image_data/image_3969.jpeg,-0.9999999999999999,1.0,-0.9999999999999999,1.0,0.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
13,image_6587,./image_data/image_6587.jpg,-0.9999999999999999,-0.33333333333333326,-0.33333333333333326,1.0,0.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0
14,image_3382,./image_data/image_3382.jpg,0.3333333333333335,-0.33333333333333326,0.3333333333333335,1.0,0.5,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0
15,image_6824,./image_data/image_6824.jpeg,0.3333333333333335,-0.33333333333333326,0.3333333333333335,1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
16,image_66,./image_data/image_66.jpg,-0.33333333333333326,0.3333333333333335,0.3333333333333335,1.0,0.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0
17,image_92,./image_data/image_92.jpg,-0.33333333333333326,0.3333333333333335,-0.9999999999999999,1.0,-0.5,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
18,image_3604,./image_data/image_3604.jpeg,0.3333333333333335,0.3333333333333335,0.3333333333333335,-1.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
